geonum,black_nh_index,pop
1080410044011.0,5.58422091489366,3030.0
1080310083902.0,9.819691144214334,2903.0
1080310041036.0,4.178655489445313,910.0
1080050842003.0,3.3527557806875903,1157.0
1080050049521.0,3.6221519331045364,1233.0
1080050806003.0,3.6576823950635147,921.0
1080050810004.0,9.948727038344945,1239.0
1080050819003.0,6.0527875769455735,1754.0
1080050077031.0,3.8039674984357075,899.0
1080410022002.0,7.260184236753226,580.0
1080410054001.0,4.036819036373274,1669.0
1080310051041.0,3.49244219295329,1878.0
1080310068113.0,3.332644059502615,1723.0
1080310083121.0,6.323297716923729,3366.0
1080310042023.0,3.5972842682902746,1653.0
1080010082002.0,3.287013117509768,2205.0
1080050076001.0,7.210820103186785,361.0
1080050077042.0,7.430285372104459,1446.0
1080050825002.0,3.061583821325751,1142.0
1080410038012.0,5.213692630013487,1351.0
1080410040091.0,3.2297628680929833,1849.0
1080310070894.0,8.938787244830158,1556.0
1080310083041.0,5.1710933224405435,2058.0
1080050828001.0,3.43990656927583,1328.0
1080050828002.0,6.089754535555433,725.0
1080050800002.0,4.346119462827045,1744.0
1080050872003.0,9.083620339358427,1534.0
1080050816004.0,3.8322266976464214,1545.0
1080050870003.0,5.113359414660631,2765.0
1080410007003.0,4.85264222616795,1441.0
1080410045073.0,3.1817080366269206,1524.0
1080310083901.0,8.631070606311951,3288.0
1080050870001.0,4.398907797719402,1462.0
1080050807001.0,5.024532962242352,2052.0
1080410065021.0,3.734728920014963,328.0
1080310041012.0,12.720572022480871,1284.0
1080310157004.0,3.053260324752639,1772.0
1080319800001.0,6.535570720355349,1519.0
1081230004011.0,4.577217299955773,959.0
1080050835001.0,5.936006489851793,1221.0
1080050800001.0,9.295693969343183,1801.0
1080310024022.0,3.9157216842002374,932.0
1080310031011.0,3.9866918175074204,1754.0
1080310069014.0,7.626432597843966,686.0
1080759664002.0,4.291899147684465,553.0
1080010082003.0,5.170056417940496,1471.0
1080010083083.0,6.588309031005119,2115.0
1080010079004.0,5.174107203410842,2407.0
1080050865001.0,3.1384615196242245,2163.0
1080050841003.0,4.822675045930103,1614.0
1080050072023.0,3.869733516291895,1563.0
1080050803001.0,7.135587637004337,701.0
1080050803004.0,5.8107121175096195,549.0
1080050077023.0,3.7464438789861516,1594.0
1080310119024.0,5.420853551763962,1676.0
1080310041035.0,8.575555658419827,991.0
1080310068093.0,5.099616588985949,1131.0
1080310023002.0,5.74935493701456,1416.0
1080050826001.0,9.216713677664044,1534.0
1080050871002.0,4.4732070387098775,1529.0
1080050872002.0,3.0698750035775166,1380.0
1080050804003.0,3.355085139711718,928.0
1080050810001.0,12.743489609774011,1516.0
1080050811003.0,6.276094019498169,2391.0
1080050072012.0,4.808946238640485,2611.0
1080410057003.0,4.929255707351654,2335.0
1080410053003.0,3.2429552224439324,2715.0
1080410052021.0,3.386460764910969,731.0
1081010003001.0,3.630880265296021,1954.0
1080310044043.0,3.5582705822467746,2374.0
1080310083911.0,6.075423315172181,3957.0
1080050834003.0,7.4471727974305235,2039.0
1080050844001.0,5.38556893276494,1469.0
1080050845002.0,3.280329245142294,1626.0
1080050873005.0,8.999502358687742,1157.0
1080050821002.0,6.75312882372128,2891.0
1080050869002.0,8.18836447257889,1736.0
1080050845001.0,4.03737386152561,1378.0
1080050803003.0,3.96938982802969,2321.0
1080410029001.0,9.699058477948597,1263.0
1080410044031.0,4.969204114294571,1551.0
1080310041043.0,9.944427303260518,1006.0
1080310083891.0,14.744770345237178,1151.0
1080050819004.0,9.121448198819815,1578.0
1080410020001.0,3.672257638200928,827.0
1080410059005.0,7.749725455319007,1146.0
1080410077002.0,3.1660009190674927,3047.0
1080410045034.0,3.3555001446241355,6229.0
1080410064003.0,5.206339877442637,799.0
1080410063011.0,7.4265573163794665,1567.0
1080310041045.0,4.0807126905239635,788.0
1080310035004.0,4.342054629809063,864.0
1080310019012.0,3.486771609001624,2430.0
1080310083893.0,6.6400133446901854,6703.0
1080010078021.0,8.069510687076033,1556.0
1080050851003.0,3.1062221446145335,2777.0
1080050868001.0,13.889219256467177,2012.0
1080050071042.0,4.075473016041433,1434.0
1080050811002.0,11.99108443143102,1128.0
1080050812002.0,5.806130146235296,1745.0
1080050813001.0,3.253043076575533,1216.0
1080050818003.0,6.225958596142768,1324.0
1080050808001.0,4.725075414947062,2922.0
1080410041004.0,6.3679159128853975,1042.0
1080410065022.0,3.041603961733705,5135.0
1080310036023.0,6.036003793966091,723.0
1080310041021.0,6.6864096764667895,1500.0
1080050076003.0,6.1991130427944166,881.0
1080050848002.0,3.4350284511248734,1107.0
1080050077033.0,7.682059807267264,2960.0
1080310083871.0,5.153933271593683,3382.0
1080310068101.0,4.915862451413138,976.0
1080010093213.0,3.286952520704269,955.0
1080010079003.0,4.189070214708285,859.0
1080050859002.0,3.8634924934992587,2127.0
1080870005002.0,3.1002860812568658,675.0
1080310083063.0,8.536065670531627,1166.0
1080310083062.0,9.406784164103804,1815.0
1080310019011.0,7.027993729228157,650.0
1080010078022.0,3.201580883848443,1387.0
1081230007032.0,3.45916864193358,1719.0
1080050838003.0,8.212089580725971,808.0
1080050829001.0,7.306314439626047,1488.0
1080050805001.0,5.58299130312627,2281.0
1080050809001.0,3.00839422276702,3020.0
1080050812003.0,13.042439812654296,1176.0
1080410061001.0,3.386100064874904,1839.0
1080410065023.0,9.915169142568741,1637.0
1080590102113.0,5.365526992905594,1113.0
1080310024032.0,6.054696156024258,1235.0
1080310023001.0,7.247483728241328,2148.0
1080310036031.0,12.138760759131728,1047.0
1080310036013.0,5.068457098692409,1717.0
1080310037011.0,3.2443956111821244,1762.0
1080050822003.0,10.917277829593859,2534.0
1080050822004.0,9.236895227357497,1713.0
1080050826002.0,8.325430842191448,797.0
1080050811001.0,4.808237957410569,690.0
1080050838001.0,4.909570685701623,1679.0
1080410065011.0,4.623482527733629,2092.0
1080410044021.0,3.6076308154071244,382.0
1080410045113.0,3.6531342395010142,4478.0
1080410068022.0,3.3408128952728737,1291.0
1080310014021.0,6.5877202131098445,1414.0
1080310068096.0,3.3627206275899435,850.0
1080310042021.0,7.680674523555953,834.0
1080310068133.0,5.215492349999077,1375.0
1080010080003.0,6.375037276989397,1245.0
1080050071043.0,4.674077911143325,2801.0
1080050873002.0,3.452868449849081,2003.0
1080410028002.0,7.8278202924425155,1829.0
1080410045031.0,3.3326487541940173,6310.0
1080410045062.0,4.942992329149496,1172.0
1080410044022.0,3.235302837218308,2469.0
1080310002021.0,4.291899147684465,553.0
1080310036025.0,5.792435689652837,1053.0
1080010078012.0,3.1191902646791636,2430.0
1080050847002.0,5.915984648026555,1402.0
1080050802002.0,7.189080542131154,2169.0
1080050868003.0,4.500160601224526,1724.0
1080050873001.0,7.930423897437388,2066.0
1080410054004.0,8.440835315344376,1288.0
1080310041023.0,11.876644875837057,1083.0
1080310083892.0,6.532675735424579,3012.0
1080739617002.0,5.45577101523689,2395.0
1080050862003.0,3.086217851733295,2795.0
1080050061002.0,5.798842316378688,889.0
1080050831002.0,4.593328129493289,2628.0
1080050801001.0,6.5120071195948235,1113.0
1080050073012.0,5.170232959114147,1081.0
1080050873004.0,5.680536949809993,1833.0
1080410030001.0,5.085410222587612,818.0
1080310083861.0,5.015618607418939,2768.0
1080010079002.0,4.253441270017041,564.0
1080010080004.0,9.553328324386102,943.0
1080050835004.0,4.82875475486737,2632.0
1080050073022.0,3.1741191464601797,1399.0
1081010009052.0,3.085990019321385,1042.0
1080310044032.0,5.781328632363835,1726.0
1080310070062.0,5.263945712639485,2555.0
1080310050021.0,3.0448989165435645,813.0
1080010080002.0,3.1370895745640635,1505.0
1081230004021.0,3.389679870507543,1822.0
1080050868002.0,5.606642705878009,2326.0
1080050843001.0,3.379893830685327,2605.0
1080050077022.0,5.05296030573453,1596.0
1080050827001.0,3.9031578713097557,1530.0
1080050820003.0,6.085692894024382,1170.0
1080410040081.0,4.079720631037405,3134.0
1080410060004.0,3.736731992645703,1243.0
1080410046032.0,4.327717648180604,4753.0
1080410053002.0,5.259980807196647,1048.0
1080310068142.0,9.123770323937931,1379.0
1080310050024.0,8.796795771680815,3081.0
1080150004021.0,3.0566227750122463,2964.0
1080010083091.0,13.279036160053204,246.0
1080010085243.0,3.9638037237037156,1307.0
1080050869001.0,7.198131380028839,1209.0
1080050073011.0,4.893280837525451,1283.0
1080050801003.0,7.727563503097498,2074.0
1080050802004.0,5.221736195080828,1085.0
1080050806001.0,3.127208748650061,1167.0
1080410033081.0,3.4628015986491674,2550.0
1080410043002.0,3.0791413026383125,2818.0
1080439802001.0,5.935873500893347,2829.0
1080310041024.0,15.888837796361013,1399.0
1080310083123.0,3.4432619804899858,2142.0
1080010082001.0,4.248247813032894,2457.0
1080050073021.0,5.78394913839052,1862.0
1080050830001.0,3.7622242633147005,3758.0
1080050812001.0,7.272085984946115,1867.0
1080050831001.0,4.283607520159006,423.0
1080310024021.0,3.9335445728291303,1077.0
1080310036015.0,3.5019756597052827,583.0
1080310068143.0,9.110819434356989,2465.0
1080310068102.0,4.043096034344426,2285.0
1080050861003.0,3.3871310280436204,1198.0
1080050806002.0,3.168734685916041,1345.0
1080410052012.0,3.6575155360804907,2491.0
1080410001014.0,3.056790662017818,1436.0
1080410045101.0,5.918894396083851,4523.0
1080870006004.0,5.367811492051026,1897.0
1080310024031.0,3.007275667905511,1239.0
1080010087093.0,4.943046228398517,1616.0
1080050835002.0,4.672409789119362,934.0
1080050828004.0,8.108845598552618,919.0
1080050826003.0,7.644567567297142,878.0
1080050829002.0,3.347461610310984,2554.0
1080410053001.0,5.8591782701773205,845.0
1080410054002.0,3.2076668453050234,907.0
1080410064001.0,3.4459697989710256,2992.0
1080410006002.0,3.3651119428276415,1130.0
1080310041031.0,9.670308132083912,797.0
1080310083042.0,4.7823666092937716,1158.0
1080310083043.0,7.509664251848268,836.0
1080310041011.0,5.283221788021168,2565.0
1080310083053.0,6.236511911557112,1821.0
1080310083122.0,7.461874634100962,2955.0
1080310041032.0,11.674638800798155,905.0
1080310069011.0,3.3889206866802444,2214.0
1080010083081.0,3.0771947326990916,1526.0
1080050077041.0,10.34037861839325,1893.0
1080050826004.0,9.536352852038208,2165.0
1080050066042.0,3.203890826766083,1386.0
1080050871001.0,10.15572941314532,1166.0
1080050811004.0,12.021601451923473,2021.0
1080050872001.0,4.3203493349386575,1335.0
1080310041022.0,10.288539230951816,1208.0
1080310119022.0,3.6526426906271343,1600.0
1080310070061.0,3.2632959251934017,2745.0
1080310052004.0,5.558177855911839,978.0
1080050820002.0,3.5978356607287005,1064.0
1080050819001.0,4.108462936219921,1907.0
1080410063021.0,4.380364201206378,4189.0
1080410049021.0,4.698228178027589,1597.0
1080310023003.0,5.220945192715919,2141.0
1080310070373.0,11.870068660512674,559.0
1080310083903.0,6.824123788428014,3564.0
1080310005024.0,3.1091144308754006,1379.0
1080310036021.0,3.280083236439474,1276.0
1080310083882.0,9.105736812952378,2699.0
1080010083532.0,7.517710151658027,2967.0
1080050072013.0,6.477717897457145,654.0
1080050824003.0,4.108869920946694,559.0
1080899683001.0,4.643244513091379,742.0
1080990003003.0,3.2916078169981122,597.0
1080310041042.0,9.566347764800232,819.0
1080310068132.0,9.940233981711057,2190.0
1080310007023.0,4.248506883392892,1724.0
1080310083912.0,6.628095657811529,3088.0
1080310044042.0,15.178460975221162,2744.0
1080310031021.0,4.722976994629312,1540.0
1080050077043.0,9.322103393279415,1607.0
1080050810002.0,4.833298161521405,1225.0
1080050813002.0,6.521796887945593,1937.0
1080050066014.0,4.987630134028542,701.0
1080050810003.0,11.500659942578146,1793.0
1080050073023.0,5.324035331177793,1323.0
1080050831004.0,6.816589918072913,1535.0
1080410019001.0,3.858030135445518,2302.0
1081010025003.0,3.918524634582629,508.0
1080310036032.0,8.11725433209359,2358.0
1080310008001.0,8.466151912277422,1462.0
1080310083872.0,5.761724389633411,4106.0
1080050860001.0,5.043844529642255,2540.0
1080050829003.0,3.556155815915887,732.0
1080050832004.0,4.361338979136298,1498.0
1080050801002.0,4.730425879537024,1079.0
1080050873003.0,4.819169911841968,1218.0
1080050818002.0,4.181954862117595,1428.0
1080050076004.0,3.5707000532846918,1165.0
1080050857003.0,4.706332382192292,911.0
1080050804002.0,5.211459350460132,2140.0
1080639621001.0,4.446195406120533,993.0
1080310036022.0,4.4823800352587515,706.0
1080310070371.0,4.9900167381480705,2639.0
1080310083064.0,3.1841107448661568,3206.0
1080050834002.0,3.687841470083953,2602.0
1080050832002.0,5.138081605111495,2255.0
1080050068583.0,3.805866613729534,1435.0
1080050804001.0,4.4742369480884445,1021.0
1080050822002.0,3.064706591933676,1374.0
1080050827002.0,4.517779428040699,2124.0
1080410002024.0,3.2710042343522243,1498.0
1080410060002.0,4.788374400508647,1471.0
1080310050023.0,5.6178931084951556,2285.0
1080310083061.0,6.928561565625244,954.0
1080010087062.0,5.091823003166874,3318.0
1080050837002.0,3.606278720440903,2767.0
1080050071051.0,3.8176378612038198,4392.0
1080050807002.0,4.682687636716009,1635.0
1080050821001.0,4.004930215612376,2071.0
1080050824002.0,4.693270800724686,1615.0
1080410045061.0,4.759910040840988,1898.0
1080410003022.0,3.0254247594926404,3003.0
1080410052022.0,4.564033614613826,2287.0
1080310041046.0,14.834440047727279,566.0
1080310041041.0,7.494671199827495,790.0
1080310016003.0,3.959695325955091,2172.0
1080310036014.0,11.073614340906435,348.0
1080310027031.0,4.6447921457674335,1489.0
1080310070882.0,6.226503555480443,955.0
1080310070372.0,10.018925031693927,1294.0
1080010083093.0,3.44832560104953,1680.0
1080050860004.0,5.176074967585342,1277.0
1080050814003.0,7.108692503177269,1156.0
1080050861001.0,3.0098061075304865,1221.0
1080410050002.0,5.257381119403883,1199.0
1080410052011.0,4.371723841485813,899.0
1080439803001.0,4.522366623136082,5773.0
1080310041013.0,10.09141112969704,961.0
1080310068104.0,3.7979656809707354,1821.0
1080310070883.0,3.692865450463165,1472.0
1080310083881.0,4.776231499450054,6818.0
1080050833003.0,4.202684214288914,1676.0
1080050868004.0,10.993509744044045,1300.0
1080050820001.0,8.709847579889667,1928.0
